股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260416],p_open,p_close,chg_pct,涨跌幅:前复权排名[20260416],p_high,p_low,竞价匹配价[20260416],竞价异动类型[20260416],竞价异动说明[20260416],集合竞价评级[20260416],竞价量[20260416],竞价金额[20260416],竞价未匹配量[20260416],竞价未匹配金额[20260416],开盘价:前复权[20260416],最高价:前复权[20260416],最低价:前复权[20260416],收盘价:前复权[20260416],振幅[20260416],成交量[20260416],market_code,code,date
002469.SZ,三维化学,7.19,-1.1004126547455184,0.599,8.4,8.86,6.10778443,248/5521,8.96,8.36,8.4,,,,38400,322560.0,-10500,-88200.0,8.4,8.96,8.36,8.86,7.185628,3.184473E7,33,002469,20260416
002738.SZ,中矿资源,90.79,-0.5585980284775366,1.527,81.8,85.49,6.10649125,249/5521,86.73,81.59,81.8,大卖单试盘,大卖单试盘523万元,-,198800,16261840.0,9800,801640.0,81.8,86.73,81.59,85.49,6.379545,3.4832783E7,33,002738,20260416
001389.SZ,广合科技,163.25,-0.4573170731707317,0.868,128.97,135.65,6.09260128,250/5521,136.66,128.02,128.97,竞价抢筹,单笔放量10%以上抢筹,看多,45400,5855238.0,-647,-83443.59,128.97,136.66,128.02,135.65,6.75739,9844002,33,001389,20260416
300478.SZ,杭州高新,29.91,0.36912751677852157,0.357,25.28,26.72,6.07383882,252/5521,26.89,25.28,25.28,,,,1600,40448.0,-200,-5056.0,25.28,26.89,25.28,26.72,6.391425,6378684,33,300478,20260416
002125.SZ,湘潭电化,15.27,1.6644474034620507,0.89,13.6,14.29,6.00890208,253/5521,14.39,13.5,13.6,,,,151000,2053600.0,89100,1211760.0,13.6,14.39,13.5,14.29,6.602373,3.6693358E7,33,002125,20260416
300531.SZ,优博讯,18.93,-2.221074380165288,0.992,19.35,20.31,6.00208768,254/5521,20.33,19.27,19.35,,,,59100,1143585.0,1000,19350.0,19.35,20.33,19.27,20.31,5.532359,2.994755E7,33,300531,20260416
300605.SZ,恒锋信息,13.17,3.213166144200628,0.855,14.16,14.88,5.98290598,256/5521,14.97,14,14.16,,,,14600,206736.0,500,7080.0,14.16,14.97,14,14.88,6.908831,8066825,33,300605,20260416
300454.SZ,深信服,117.18,3.1514084507042366,1.995,108.92,113.14,5.94624965,257/5521,113.22,108.28,108.92,竞价抢筹,单笔放量10%以上抢筹,看多,47200,5141024.0,200,21784.0,108.92,113.22,108.28,113.14,4.625901,1.7218291E7,33,300454,20260416
000155.SZ,川能动力,17.42,-9.506493506493497,1.063,16.16,16.94,5.94121326,258/5521,17.18,16.07,16.16,,,,408600,6602976.0,251700,4067472.0,16.16,17.18,16.07,16.94,6.941838,1.16697472E8,33,000155,20260416
603200.SH,上海洗霸,62.03,0.12913640032283824,1.035,62.5,65.5,5.88425477,262/5521,65.5,61.8,62.5,,,,51000,3187500.0,-200,-12500.0,62.5,65.5,61.8,65.5,5.981247,1.4192132E7,17,603200,20260416
301428.SZ,世纪恒通,32.95,0.0,0.593,33.93,35.71,5.87014527,263/5521,35.8,33.77,33.93,,,,17100,580203.0,-10300,-349479.0,33.93,35.8,33.77,35.71,6.018381,8566739,33,301428,20260416
300556.SZ,丝路视觉,20.07,2.607361963190192,0.114,17.53,18.53,5.82524272,265/5521,19.17,17.5,17.53,,,,2800,49084.0,1100,19283.0,17.53,19.17,17.5,18.53,9.537407,7940700,33,300556,20260416
300949.SZ,奥雅股份,40.63,1.2964348042882152,1.478,37.76,39.37,5.80489116,268/5521,39.88,36.94,37.76,急速上涨,一分钟涨幅大于3%,偏空,3900,147264.0,100,3776.0,37.76,39.88,36.94,39.37,7.901101,1332875,33,300949,20260416
300467.SZ,迅游科技,37.29,-1.3752975403332535,0.556,30.75,32.35,5.7880968,270/5521,32.77,30.41,30.75,,,,13000,399750.0,3400,104550.0,30.75,32.77,30.41,32.35,7.717462,7659500,33,300467,20260416
003023.SZ,彩虹集团,30.3,2.572782667569403,0.076,26.36,27.86,5.77069096,271/5521,28.18,26.11,26.36,跌停试盘,第1次跌停试盘,-,19800,521928.0,500,13180.0,26.36,28.18,26.11,27.86,7.858769,6890110,33,003023,20260416
603685.SH,晨丰科技,32.82,-4.1471962616822475,0.99,29.58,30.98,5.76988733,272/5521,31.26,28.8,29.58,,,,15400,455532.0,-13700,-405246.0,29.58,31.26,28.8,30.98,8.39877,5674142,17,603685,20260416
603358.SH,华达科技,31.32,-3.808353808353814,2.024,33.27,34.48,5.73443729,274/5521,35.32,33.27,33.27,,,,165300,5499531.0,11600,385932.0,33.27,35.32,33.27,34.48,6.286415,1.7900918E7,17,603358,20260416
688279.SH,峰岹科技,197.45,0.74493596612071,3.658,177.66,181.2,5.72378785,276/5521,183.3,175.49,177.66,,,,25752,4575100.3,2091,371487.06,177.66,183.3,175.49,181.2,4.556858,2619554,17,688279,20260416
