股票代码,股票简称,最新价,chg_pct,分时买二量[20260417 09:15],{(}分时买二量[20260417 09:15]{*}100.0{)},自由流通股[20260417],yedan_pct,分时买一量[20260430 09:25],{(}分时买一量[20260430 09:25]{*}100.0{)},自由流通股[20260430],open_seal_pct,分时涨跌幅:前复权[20260430 09:25],涨停次数[20260428-20260430],涨停次数排名[20260428-20260430],区间成交额[20260428-20260430],区间振幅[20260428-20260430],分时买三量[20260417 09:15],分时买四量[20260417 09:15],分时买五量[20260417 09:15],分时成交量[20260430 09:25],分时成交额[20260430 09:25],分时换手率[20260430 09:25],分时收盘价:不复权[20260430 09:25],分时买三量[20260430 09:25],分时买四量[20260430 09:25],分时买五量[20260430 09:25],market_code,code,date
000967.SZ,盈峰环境,13.57,-3.8270729978738425,2870723.0,287072300,1371479544,0.2093157723393649,19098.0,1909800.0,1425547621,0.0013396956873740241,0.850460666194186,1,38/248,9744670810.0,14.817688130333591,0.0,0.0,0.0,3545402,50451070.0,0.1101229877209602,14.23,2100.0,53300.0,1000.0,33,000967,20260417
002218.SZ,拓日新能,5.46,-2.6737967914438565,6400.0,640000,861504437,0.0007428864815005009,195500.0,19550000.0,861504437,0.022692860489585614,-1.0695187165775444,1,38/248,1795692916.0,6.16570327552987,0.0,0.0,0.0,1006800,5587740.0,0.07255286237548064,5.55,60200.0,97400.0,69100.0,33,002218,20260417
002313.SZ,日海智能,9.61,-3.7074148296593283,6000.0,600000,311973675,0.001923239196384118,14900.0,1490000.0,311973675,0.004776044004353893,-3.006012024048099,1,38/248,1220738484.0,12.065217391304342,0.0,0.0,0.0,768600,7440048.0,0.2053028968983997,9.68,17500.0,4700.0,1300.0,33,002313,20260417
002412.SZ,汉森制药,6.99,-0.28530670470755454,6300.0,630000,278743811,0.002260139867284802,72821.0,7282100.0,278743811,0.02612470559929311,-0.28530670470755526,1,38/248,750609849.0,5.084745762711865,0.0,0.0,0.0,720779,5038245.2,0.14477980094206028,6.99,34700.0,13800.0,31100.0,33,002412,20260417
002923.SZ,润都股份,13.22,-0.45180722891565306,4800.0,480000,148104023,0.003240965304500878,13000.0,1300000.0,148104023,0.008777614366356544,-1.0542168674698704,1,38/248,789872398.0,6.937799043062196,0.0,0.0,0.0,362700,4765878.0,0.14053518596344636,13.14,6000.0,2000.0,200.0,33,002923,20260417
300187.SZ,永清环保,5.62,-3.436426116838491,16600.0,1660000,315689956,0.0052583237713144096,39400.0,3940000.0,315689956,0.012480599794565526,0.1718213058419238,1,38/248,1181287859.0,11.328125000000002,0.0,0.0,0.0,853500,4975905.0,0.1329694644839978,5.83,8900.0,12100.0,2000.0,33,300187,20260417
300905.SZ,宝丽迪,68.12,0.029368575624097257,476200.0,47620000,86805009,0.5485858540720847,4400.0,440000.0,86805009,0.005068831914987763,0.9985315712188081,1,38/248,3714162995.0,14.145031333930156,0.0,0.0,0.0,455700,31343046.0,0.32632459661585855,68.78,200.0,2600.0,100.0,33,300905,20260417
600152.SH,维科技术,14.85,2.4137931034482736,24500.0,2450000,347032858,0.007059850223173968,246700.0,24670000.0,347032858,0.07108836939008237,-2.4827586206896513,1,38/248,6152135390.0,12.903225806451612,0.0,0.0,0.0,3969300,56125902.0,0.7502276950410324,14.14,4900.0,53800.0,81900.0,17,600152,20260417
600238.SH,*ST椰岛,5.64,2.5454545454545396,100.0,10000,362235725,2.7606332865152935e-05,1775000.0,177500000.0,362235725,0.4900124083564646,5.0909090909091015,1,38/248,296537145.0,10.707456978967505,0.0,0.0,0.0,2216600,12811948.0,0.49780855090729126,5.78,37000.0,41300.0,2000.0,22,600238,20260417
600320.SH,振华重工,5.42,0.9310986964618216,14000.0,1400000,1803232242,0.0007763836334510261,137400.0,13740000.0,1803232242,0.007619650802583642,-0.7448789571694592,1,38/248,2592741655.0,9.34959349593496,0.0,0.0,0.0,871100,4642963.0,0.02622217379098871,5.33,185100.0,228300.0,22100.0,17,600320,20260417
