股票代码,股票简称,最新价,最新涨跌幅,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260410],p_high,p_low,p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260410],最高价:前复权[20260410],最低价:前复权[20260410],收盘价:前复权[20260410],振幅[20260410],成交量[20260410],market_code,code,date
603950.SH,长源东谷,55.65,-1.0490753911806603,56.2,56.2,49.37,10.00445633,47/5521,58.38,55.3,49.37,49.37,56.2,56.2,56.2,0,49.37,49.37,49.37,49.37,0,6489246,17,603950,20260410
001211.SZ,双枪科技,41.73,3.037037037037029,40.71,40.71,30.68,10.00358551,48/5521,42.52,40.5,30.68,27.89,40.71,40.71,40.71,0,28.1,30.68,27.89,30.68,10.003585,1.1137289E7,33,001211,20260410
001309.SZ,德明利,524.81,0.3595127454917476,517.71,517.71,447.24,10.00049191,49/5521,535,509.01,447.24,423,517.71,517.71,517.71,0,428,447.24,423,447.24,5.961926,2.3225744E7,33,001309,20260410
000762.SZ,西藏矿业,38.7,-0.5141388174807089,38.47,38.47,33.88,10,50/5521,39.87,38.14,33.88,30.51,38.47,38.47,38.47,0,30.8,33.88,30.51,33.88,10.941558,8.2707544E7,33,000762,20260410
002733.SZ,雄韬股份,27.66,-6.68016194331984,29.97,29.97,30.25,10,50/5521,30.02,27.1,30.25,27.21,29.97,29.97,29.97,0,27.5,30.25,27.21,30.25,11.054545,4.2639513E7,33,002733,20260410
600537.SH,*ST亿晶,3.2,-5.044510385756674,3.2,3.2,4.07,10,50/5521,3.2,3.2,4.07,3.7,3.2,3.2,3.2,0,3.73,4.07,3.7,4.07,10,2.11273482E8,22,600537,20260410
600713.SH,南京医药,5.28,-2.9411764705882377,5.39,5.39,6.05,10,50/5521,5.4,5.25,6.05,5.5,5.39,5.39,5.39,0,5.5,6.05,5.5,6.05,10,1.0665951E8,17,600713,20260410
601010.SH,ST文峰,2.21,-5.150214592274683,2.21,2.21,2.42,10,50/5521,2.21,2.21,2.42,2.21,2.21,2.21,2.21,0,2.21,2.42,2.21,2.42,9.545454,1.11830929E8,22,601010,20260410
603200.SH,上海洗霸,62.03,0.12913640032283824,61.36,61.36,61.71,10,50/5521,62.99,61.36,61.71,56.48,61.36,61.36,61.36,0,56.6,61.71,56.48,61.71,9.322638,8556986,17,603200,20260410
603933.SH,睿能科技,24.44,5.027932960893862,24.2,24.2,24.53,10,50/5521,24.5,23.28,24.53,23.6,24.2,24.2,24.2,0,24.53,24.53,23.6,24.53,4.170403,1.6092792E7,17,603933,20260410
605006.SH,山东玻纤,11.69,-3.6273701566364487,12.08,12.08,10.12,10,50/5521,12.32,11.31,10.12,9.12,12.08,12.08,12.08,0,9.16,10.12,9.12,10.12,10.869565,4.9026519E7,17,605006,20260410
605117.SH,德业股份,150.63,2.03210729526519,150.0,150,139.6,9.99921204,58/5521,155.8,148,139.6,135.76,150.0,150.0,150.0,0,136,139.6,135.76,139.6,3.025766,1.2777251E7,17,605117,20260410
603026.SH,石大胜华,114.92,-3.6310272536687616,120.0,120,85.16,9.99741669,59/5521,122.16,114.5,85.16,77.77,120.0,120.0,120.0,0,78.11,85.16,77.77,85.16,9.545337,2.751248E7,17,603026,20260410
600345.SH,长江通信,48.66,-5.952841128720537,50.0,50,54.36,9.99595306,60/5521,50.56,47,54.36,52.52,50.0,50.0,50.0,0,53.28,54.36,52.52,54.36,3.723188,2.5849154E7,17,600345,20260410
605255.SH,天普股份,102.04,2.0910455227613842,99.59,99.59,105.31,9.99582202,61/5521,107.07,99.3,105.31,95.74,99.59,99.59,99.59,0,96.19,105.31,95.74,105.31,9.995822,2452997,17,605255,20260410
603773.SH,沃格光电,69.35,-0.5592199598508756,71.83,71.83,43.14,9.99490056,62/5521,72.75,66.5,43.14,39.68,71.83,71.83,71.83,0,40.5,43.14,39.68,43.14,8.822029,3.1053033E7,17,603773,20260410
000534.SZ,万泽股份,39.53,-2.8746928746928786,40.3,40.3,45.68,9.99277631,63/5521,41.1,39.24,45.68,43.08,40.3,40.3,40.3,0,44,45.68,43.08,45.68,6.260534,2.2093785E7,33,000534,20260410
002364.SZ,中恒电气,40.79,2.6163522012578593,39.75,39.75,35.12,9.99060445,64/5521,41.49,38.85,35.12,35.12,39.75,39.75,39.75,0,35.12,35.12,35.12,35.12,0,3389150,33,002364,20260410
600480.SH,凌云股份,10.11,0.0,10.08,10.08,10.79,9.98980632,65/5521,10.2,10,10.79,9.88,10.08,10.08,10.08,0,9.9,10.79,9.88,10.79,9.276248,6.3495674E7,17,600480,20260410
600105.SH,永鼎股份,42.41,-2.1006463527239236,43.84,43.84,38.1,9.98845266,66/5521,44.22,41.8,38.1,33.98,43.84,43.84,43.84,0,34.65,38.1,33.98,38.1,11.893764,2.33129977E8,17,600105,20260410
000670.SZ,盈方微,7.57,2.297297297297296,7.5,7.5,8.15,9.98650472,67/5521,7.63,7.38,8.15,7.48,7.5,7.5,7.5,0,7.48,8.15,7.48,8.15,9.041835,7.9266471E7,33,000670,20260410
600156.SH,华升股份,10.8,-3.3124440465532605,11.82,11.82,8.15,9.98650472,67/5521,12.29,10.68,8.15,7.44,11.82,11.82,11.82,0,7.48,8.15,7.44,8.15,9.581646,1.7633812E7,17,600156,20260410
603088.SH,宁波精达,11.94,-2.9268292682926926,12.3,12.3,13.44,9.98363339,69/5521,12.34,11.93,13.44,12.29,12.3,12.3,12.3,0,12.29,13.44,12.29,13.44,9.410801,4.6729556E7,17,603088,20260410
603777.SH,来伊份,16.43,4.05319822672578,15.6,15.6,16.97,9.98055736,70/5521,16.65,15.49,16.97,16,15.6,15.6,15.6,0,16.67,16.97,16,16.97,6.286454,3.9703294E7,17,603777,20260410
001299.SZ,美能能源,10.94,-3.9508340649692806,11.41,11.41,15.32,9.97846375,71/5521,11.45,10.9,15.32,13.83,11.41,11.41,11.41,0,10.30769231,11.4,10.25384615,11.4,10.696338,1.4135969E7,33,001299,20260410
301393.SZ,昊帆生物,58.82,-0.4400812457684462,58.87,58.87,54.56,9.97782705,72/5521,59.92,58.09,56.64,49.51,58.87,58.87,58.87,0,49.76,56.64,49.51,54.56,14.372102,6406469,33,301393,20260410
002787.SZ,华源控股,19.4,0.9890681936491292,19.69,19.69,13.78,9.97605746,73/5521,19.98,18.9,13.78,12.54,19.69,19.69,19.69,0,12.54,13.78,12.54,13.78,9.896249,3.9236465E7,33,002787,20260410
002950.SZ,奥美医疗,13.77,-0.2896451846488119,13.69,13.69,13.56,9.9756691,74/5521,14.17,13.68,13.56,12.35,13.69,13.69,13.69,0,12.35,13.56,12.35,13.56,9.813463,2.7686327E7,33,002950,20260410
000659.SZ,珠海中富,4.03,-1.9464720194647218,4.12,4.12,4.3,9.97442455,75/5521,4.15,4.02,4.3,3.88,4.12,4.12,4.12,0,3.91,4.3,3.88,4.3,10.741687,6.622242E7,33,000659,20260410
