股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260414],分时开盘价:不复权[20260414 09:25],p_925,chg_pct,分时涨跌幅:前复权排名[20260414 09:25],分时最高价:不复权[20260414 09:25],分时最低价:不复权[20260414 09:25],分时振幅[20260414 09:25],竞价匹配价[20260414],竞价异动类型[20260414],竞价异动说明[20260414],集合竞价评级[20260414],竞价量[20260414],竞价金额[20260414],竞价未匹配量[20260414],竞价未匹配金额[20260414],分时成交量[20260414 09:25],分时成交额[20260414 09:25],分时换手率[20260414 09:25],market_code,code,date
300800.SZ,力合科技,12.81,1.5055467511885998,1.012,11.98,11.98,1.0118043844856706,1326/5521,11.98,11.98,0,11.98,,,,12000,143760.0,-1400,-16772.0,12000,143760.0,0.005119858009271209,33,300800,20260414
300680.SZ,隆盛科技,40.1,3.993775933609956,1.011,39.95,39.95,1.0113780025284624,1327/5521,39.95,39.95,0,39.95,,,,25300,1010735.0,-2800,-111860.0,25300,1010735.0,0.014388232268607937,33,300680,20260414
301237.SZ,和顺科技,67.66,-2.577393808495329,1.011,57.95,57.95,1.0109813491371966,1328/5521,57.95,57.95,0,57.95,急速上涨,一分钟涨幅大于3%,-,8300,480985.0,1500,86925.0,8300,480985.0,0.014248927038626609,33,301237,20260414
300678.SZ,中科信息,28.52,0.7773851590105967,1.011,28.98,28.98,1.0108051585918432,1329/5521,28.98,28.98,0,28.98,,,,20500,594090.0,19200,556416.0,20500,594090.0,0.007022229408417833,33,300678,20260414
600113.SH,浙江东日,44.68,-1.150442477876113,1.011,46.97,46.97,1.0107526881720341,1330/5521,46.97,46.97,0,46.97,,,,2900,136213.0,100,4697.0,2900,136213.0,0.0007048566763878555,17,600113,20260414
300232.SZ,洲明科技,6.35,-0.31397174254317833,1.01,7.0,7.0,1.0101010101010166,1331/5521,7.0,7.0,0,7.0,,,,154300,1080100.0,23900,167300.0,154300,1080100.0,0.017467262492687735,33,300232,20260414
000957.SZ,中通客车,11.93,-0.9958506224066472,1.01,12.0,12.0,1.0101010101009944,1332/5521,12.0,12.0,0,12.0,竞价抢筹,单笔放量10%以上抢筹,看多,711600,8539200.0,33900,406800.0,711600,8539200.0,0.12001944274493735,33,000957,20260414
603305.SH,旭升集团,15.41,1.8506278916060763,1.009,15.02,15.02,1.008742434431742,1333/5521,15.02,15.02,0,15.02,,,,76100,1143022.0,-3100,-46562.0,76100,1143022.0,0.006584705080265928,17,603305,20260414
301270.SZ,汉仪股份,33.34,-0.8033323415649986,1.007,32.1,32.1,1.0069225928256875,1334/5521,32.1,32.1,0,32.1,,,,4900,157290.0,-300,-9630.0,4900,157290.0,0.005185577862382891,33,301270,20260414
002285.SZ,世联行,3.12,3.654485049833898,1.007,3.01,3.01,1.0067114093959662,1335/5521,3.01,3.01,0,3.01,,,,415700,1251257.0,29900,89999.0,415700,1251257.0,0.021045560336755514,33,002285,20260414
