股票代码,股票简称,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260430],p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code,date
600375.SH,汉马科技,5.3,5.3,5.37,1.70454545,1335/5521,5.4,5.24,5.3,5.3,5.3,0,5.3,5.4,5.24,5.37,3.030303,3.0274058E7,17,600375,20260430
688489.SH,三未信安,39.21,39.21,39.99,1.70396745,1336/5521,40.08,38.85,39.21,39.21,39.21,0,39.21,40.08,38.85,39.99,3.128179,603627,17,688489,20260430
605188.SH,国光连锁,15.8,15.8,16.12,1.70347003,1337/5521,16.65,15.8,15.8,15.8,15.8,0,15.8,16.65,15.8,16.12,5.362776,7488008,17,605188,20260430
002016.SZ,世荣兆业,5.29,5.29,5.38,1.70132325,1338/5521,5.41,5.25,5.29,5.29,5.29,0,5.29,5.41,5.25,5.38,3.024574,1.63512E7,33,002016,20260430
920088.BJ,科力股份,48.8,48.8,48.44,1.70060886,1339/5521,49.4,47.79,48.8,48.8,48.8,0,48.8,49.4,47.79,48.44,3.380222,5614675,151,920088,20260430
001288.SZ,运机集团,27.7,27.7,28.11,1.70043415,1340/5521,28.17,27.61,27.7,27.7,27.7,0,27.7,28.17,27.61,28.11,2.026049,3117000,33,001288,20260430
688798.SH,艾为电子,66.24,66.24,67.61,1.69975933,1341/5521,67.88,65.87,66.24,66.24,66.24,0,66.24,67.88,65.87,67.61,3.023465,3352471,17,688798,20260430
300789.SZ,唐源电气,22.52,22.52,22.75,1.69870362,1342/5521,22.83,22.33,22.52,22.52,22.52,0,22.52,22.83,22.33,22.75,2.235136,2641926,33,300789,20260430
600977.SH,中国电影,13.52,13.52,13.78,1.69741697,1343/5521,13.8,13.52,13.52,13.52,13.52,0,13.52,13.8,13.52,13.78,2.06642,3.4644351E7,17,600977,20260430
601118.SH,海南橡胶,7.02,7.02,7.19,1.69731259,1344/5521,7.23,7.01,7.02,7.02,7.02,0,7.02,7.23,7.01,7.19,3.111739,4.8804212E7,17,601118,20260430
920149.BJ,旭杰科技,10.03,10.03,10.19,1.69660679,1345/5521,10.28,9.98,10.03,10.03,10.03,0,10.03,10.28,9.98,10.19,2.994011,1194322,151,920149,20260430
300578.SZ,会畅科技,21.18,21.18,21.6,1.69491525,1346/5521,21.81,20.98,21.18,21.18,21.18,0,21.18,21.81,20.98,21.6,3.907721,6174392,33,300578,20260430
600665.SH,天地源,3.51,3.51,3.6,1.69491525,1346/5521,3.62,3.51,3.51,3.51,3.51,0,3.51,3.62,3.51,3.6,3.107344,1.523936E7,17,600665,20260430
603073.SH,彩蝶实业,20.57,20.57,21.0,1.69491525,1346/5521,21.09,20.33,20.57,20.57,20.57,0,20.57,21.09,20.33,21.0,3.680387,2619435,17,603073,20260430
300042.SZ,朗科科技,51.41,51.41,52.27,1.692607,1349/5521,53.58,49.8,51.41,51.41,51.41,0,51.41,53.58,49.8,52.27,7.354085,3.9036982E7,33,300042,20260430
002682.SZ,龙洲股份,5.88,5.88,6.01,1.69204738,1350/5521,6.03,5.86,5.88,5.88,5.88,0,5.88,6.03,5.86,6.01,2.87648,1.8646E7,33,002682,20260430
600515.SH,海南机场,3.54,3.54,3.61,1.69014085,1351/5521,3.64,3.53,3.54,3.54,3.54,0,3.54,3.64,3.53,3.61,3.098591,1.22097462E8,17,600515,20260430
603182.SH,嘉华股份,14.95,14.95,15.05,1.68918919,1352/5521,15.18,14.76,14.95,14.95,14.95,0,14.95,15.18,14.76,15.05,2.837837,3517900,17,603182,20260430
301379.SZ,天山电子,26.09,26.09,26.51,1.68776371,1353/5521,26.88,25.85,26.09,26.09,26.09,0,26.09,26.88,25.85,26.51,3.950901,6114397,33,301379,20260430
603291.SH,联合水务,11.2,11.2,11.46,1.68589175,1354/5521,11.59,11.09,11.2,11.2,11.2,0,11.2,11.59,11.09,11.46,4.436557,5231351,17,603291,20260430
002803.SZ,吉宏股份,19.55,19.55,19.92,1.68453292,1355/5521,20,19.41,19.55,19.55,19.55,0,19.55,20,19.41,19.92,3.01174,1.3885545E7,33,002803,20260430
920227.BJ,美登科技,60.12,60.12,61.59,1.68400198,1356/5521,62.3,60.02,60.12,60.12,60.12,0,60.12,62.3,60.02,61.59,3.764239,534353,151,920227,20260430
603029.SH,天鹅股份,19.75,19.75,19.95,1.68195719,1357/5521,20,19.58,19.75,19.75,19.75,0,19.75,20,19.58,19.95,2.140672,3215930,17,603029,20260430
688135.SH,利扬芯片,35.8,35.8,36.89,1.68136714,1358/5521,37.3,35.7,35.8,35.8,35.8,0,35.8,37.3,35.7,36.89,4.410143,1.848542E7,17,688135,20260430
300513.SZ,恒实科技,8.92,8.92,9.08,1.67973124,1359/5521,9.1,8.88,8.92,8.92,8.92,0,8.92,9.1,8.88,9.08,2.463605,9318028,33,300513,20260430
300087.SZ,荃银高科,8.3,8.3,8.48,1.67865707,1360/5521,8.53,8.24,8.3,8.3,8.3,0,8.3,8.53,8.24,8.48,3.477218,1.5622109E7,33,300087,20260430
300985.SZ,致远新能,22.66,22.66,23.05,1.67622408,1361/5521,23.48,22.66,22.66,22.66,22.66,0,22.66,23.48,22.66,23.05,3.617115,3075200,33,300985,20260430
603477.SH,巨星农牧,18.5,18.5,18.81,1.67567568,1362/5521,19.1,18.31,18.5,18.5,18.5,0,18.5,19.1,18.31,18.81,4.27027,1.8716562E7,17,603477,20260430
688556.SH,高测股份,13.11,13.11,13.37,1.6730038,1363/5521,13.5,12.85,13.11,13.11,13.11,0,13.11,13.5,12.85,13.37,4.942965,3.5497853E7,17,688556,20260430
301042.SZ,安联锐视,106.66,106.66,108.28,1.6713615,1364/5521,108.5,104.9,106.66,106.66,106.66,0,106.66,108.5,104.9,108.28,3.380281,2688009,33,301042,20260430
688312.SH,燕麦科技,69.5,69.5,70.07,1.66860128,1365/5521,70.59,67.3,69.5,69.5,69.5,0,69.5,70.59,67.3,70.07,4.77365,7786989,17,688312,20260430
002767.SZ,先锋电子,20.37,20.37,20.72,1.66830226,1366/5521,20.72,20.15,20.37,20.37,20.37,0,20.37,20.72,20.15,20.72,2.796859,2189450,33,002767,20260430
002168.SZ,*ST惠程,4.23,4.23,4.27,1.66666667,1367/5521,4.32,4.21,4.23,4.23,4.23,0,4.23,4.32,4.21,4.27,2.619047,8876400,33,002168,20260430
600234.SH,科新发展,23.99,23.99,24.4,1.66666667,1367/5521,25,23.99,23.99,23.99,23.99,0,23.99,25,23.99,24.4,4.208333,5512504,17,600234,20260430
001379.SZ,腾达科技,21.8,21.8,21.97,1.66589542,1369/5521,22.07,21.7,21.8,21.8,21.8,0,21.8,22.07,21.7,21.97,1.71217,2363144,33,001379,20260430
600171.SH,上海贝岭,28.26,28.26,28.7,1.6648955,1370/5521,28.89,28.14,28.26,28.26,28.26,0,28.26,28.89,28.14,28.7,2.656748,1.5128604E7,17,600171,20260430
002125.SZ,湘潭电化,15.05,15.05,15.27,1.6644474,1371/5521,15.63,14.97,15.05,15.05,15.05,0,15.05,15.63,14.97,15.27,4.394141,6.4864747E7,33,002125,20260430
002370.SZ,亚太药业,6.63,6.63,6.73,1.66163142,1372/5521,6.81,6.58,6.63,6.63,6.63,0,6.63,6.81,6.58,6.73,3.47432,2.4345048E7,33,002370,20260430
603499.SH,翔港科技,20.0,20,20.81,1.66096727,1373/5521,20.99,20,20.0,20.0,20.0,0,20,20.99,20,20.81,4.836345,5348920,17,603499,20260430
603183.SH,建研院,4.8,4.8,4.9,1.65975104,1374/5521,4.94,4.8,4.8,4.8,4.8,0,4.8,4.94,4.8,4.9,2.904564,1.602351E7,17,603183,20260430
600256.SH,广汇能源,6.71,6.71,6.75,1.65662651,1375/5521,6.83,6.69,6.71,6.71,6.71,0,6.71,6.83,6.69,6.75,2.108433,1.90885837E8,17,600256,20260430
603289.SH,泰瑞机器,11.55,11.55,11.66,1.6564952,1376/5521,11.89,11.47,11.55,11.55,11.55,0,11.55,11.89,11.47,11.66,3.661726,7469520,17,603289,20260430
920191.BJ,瑞尔竞达,12.69,12.69,12.91,1.65354331,1377/5521,13.22,12.65,12.69,12.69,12.69,0,12.69,13.22,12.65,12.91,4.488188,7908660,151,920191,20260430
920351.BJ,华光源海,16.38,16.38,16.6,1.65339865,1378/5521,16.7,16.22,16.38,16.38,16.38,0,16.38,16.7,16.22,16.6,2.939375,1167286,151,920351,20260430
300521.SZ,爱司凯,28.4,28.4,28.9,1.65318326,1379/5521,29,28.35,28.4,28.4,28.4,0,28.4,29,28.35,28.9,2.286317,2625700,33,300521,20260430
