股票代码,股票简称,p_close,p_open,涨跌幅:前复权[20260430],p_high,区间最低价:前复权[20000104-20001229],区间最低价:前复权日[20000104-20001229],区间最低价:前复权排名[20000104-20001229],p_low,区间最高价:前复权[20000104-20001229],区间最高价:前复权日[20000104-20001229],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code,date
600782.SH,新钢股份,3.09,3.17,-2.52365931,3.17,0.26393985,20000124,685/870,3.07,2.25877068,20001201,3.17,3.17,3.07,3.09,3.154574,6.1619444E7,17,600782,20260430
600109.SH,国金证券,8.97,8.94,-0.22246941,9.12,0.25875,20000118,686/870,8.92,1.5175,20001204,8.94,9.12,8.92,8.97,2.224694,4.0004958E7,17,600109,20260430
000543.SZ,皖能电力,8.08,8.09,-0.12360939,8.1,0.25115126,20000124,687/870,8.02,2.32987749,20001226,8.09,8.1,8.02,8.08,0.988875,3.0706608E7,33,000543,20260430
600663.SH,陆家嘴,8.23,7.98,3.3919598,8.27,0.24880856,20000124,688/870,7.97,1.26046837,20001205,7.98,8.27,7.97,8.23,3.768844,2.6747874E7,17,600663,20260430
000903.SZ,ST云动,2.19,2.16,-3.52422907,2.25,0.24650786,20000117,689/870,2.16,0.8954474,20001206,2.16,2.25,2.16,2.19,3.964757,8.6680013E7,33,000903,20260430
000401.SZ,金隅冀东,4.28,4.55,-7.35930736,4.55,0.22073875,20000124,690/870,4.23,1.90354312,20001207,4.55,4.55,4.23,4.28,6.926406,5.5621834E7,33,000401,20260430
600702.SH,舍得酒业,44.25,44.62,-1.13941019,44.97,0.21455066,20000128,691/870,44.25,5.21067683,20001225,44.62,44.97,44.25,44.25,1.608579,4027508,17,600702,20260430
000090.SZ,天健集团,3.52,3.54,0.57142857,3.55,0.21418026,20000106,692/870,3.49,1.80979998,20001204,3.54,3.55,3.49,3.52,1.714285,2.3231601E7,33,000090,20260430
600120.SH,浙江东方,5.59,5.66,-1.75746924,5.69,0.20986051,20000104,693/870,5.56,1.10550939,20001226,5.66,5.69,5.56,5.59,2.28471,5.6486562E7,17,600120,20260430
000612.SZ,焦作万方,13.29,13.3,-0.96870343,13.65,0.19825323,20000104,694/870,13.13,1.45154055,20001225,13.3,13.65,13.13,13.29,3.874813,4.1125591E7,33,000612,20260430
600167.SH,联美控股,6.67,6.68,-0.59612519,6.71,0.19449704,20000117,695/870,6.62,1.87497041,20001221,6.68,6.71,6.62,6.67,1.341281,8860263,17,600167,20260430
