股票代码,股票简称,最新价,所属概念,股票市场类型,涨跌幅:前复权[20260430],区间涨跌幅:前复权[20260424-20260430],所属概念数量,a股市值(不含限售股)[20260430],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code
688670.SH,金迪克,17.92,生物疫苗;流感;融资融券,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;科创板,1.07163001,6.224066390041497,3,2207744000.0,17.84,18.23,17.67,17.92,3.158488,1448830,17,688670
300142.SZ,沃森生物,13.0,生物疫苗;流感;创新药;合成生物;西部大开发;深股通;融资融券,中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,0.85337471,8.87772194304858,7,20499967215.0,12.85,13.14,12.85,13.0,2.249806,7.047043E7,33,300142
000661.SZ,长春高新,84.93,生物疫苗;流感;阿尔茨海默概念;辅助生殖;创新药;医美概念;智能医疗;回购增持再贷款概念;国企改革;证金持股;AI智能体;深股通;融资融券,中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证100R;深证AB股;深证A股;深证上市公司;深证主板A股,-0.62017318,-0.8058864751226321,13,33939265260.24,85.32,85.4,84.9,84.93,0.585069,3387556,33,000661
300122.SZ,智飞生物,15.15,生物疫苗;猴痘概念;流感;肝炎概念;创新药;重组蛋白;合成生物;减肥药;西部大开发;创投;同花顺漂亮100;深股通;融资融券,中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板50;沪深300;沪深AB股;沪深A股;沪深股通;深股通;深证100R;深证AB股;深证A股;深证上市公司;科创创业50,0.66445183,1.5415549597855258,13,21426729991.5,15.04,15.35,15,15.15,2.325581,1.5174465E7,33,300122
688185.SH,康希诺,61.51,生物疫苗;猴痘概念;流感;CRO概念;合成生物;三胎概念;京津冀一体化;沪股通;融资融券,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;含H股的A股;沪深AB股;沪深A股;沪深股通;沪股通;沪股通(可融资融券);科创板,-2.82780411,-6.732373009855959,9,7035077140.51,63.06,63.48,61.45,61.51,3.206951,2306650,17,688185
002880.SZ,卫光生物,25.71,生物疫苗;肝炎概念;细胞免疫治疗;合成生物;国企改革;深股通,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,-0.11655012,-1.5319800842588993,6,5831028000.0,25.79,25.88,25.55,25.71,1.282051,1171100,33,002880
300601.SZ,康泰生物,14.1,生物疫苗;肝炎概念;流感;创新药;合成生物;深股通;融资融券,中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,-0.49400141,-1.1913104414856337,7,12695272765.5,14.1,14.26,14.03,14.1,1.623147,1.2848307E7,33,300601
300294.SZ,博雅生物,17.48,生物疫苗;肝炎概念;仿制药一致性评价;国企改革;回购增持再贷款概念;央企国企改革;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,-1.35440181,-5.818965517241371,8,8814267940.24,17.71,17.74,17.42,17.48,1.805869,4173545,33,300294
002581.SZ,*ST未名,6.75,生物疫苗;肝炎概念;CRO概念;ST板块;创新药;重组蛋白,*ST;全部AB股;全部A股;全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股;风险警示板,-5.06329114,-8.412483039348713,6,2705340336.75,6.75,6.75,6.75,6.75,0,1134700,33,002581
600796.SH,钱江生化,6.34,生态农业;医疗废物处理;净水概念;地下管网;土壤修复;乡村振兴;生物质能发电;污水处理;合成生物;固废处理;国企改革;绿色电力;沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通,-0.31446541,1.6025641025640969,13,1974769816.26,6.39,6.43,6.3,6.34,2.044025,6655834,17,600796
603789.SH,*ST星农,5.67,生态农业;ST板块;数据要素;共同富裕示范区;乡村振兴;农机;机器人概念;无人驾驶;无人机;新疆振兴,*ST;上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;风险警示板,-1.2195122,3.467153284671524,10,1474200000.0,5.73,5.76,5.62,5.67,2.439024,4549560,22,603789
002329.SZ,皇氏集团,4.4,生态农业;乳业;绿色电力;跨境电商;三胎概念;乡村振兴;西部大开发;光伏概念;冷链物流;一带一路;智慧城市;数字经济;文化传媒概念;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,6.7961165,12.244897959183684,14,2867008865.6,4.15,4.45,4.12,4.4,8.009708,7.8232634E7,33,002329
300021.SZ,大禹节水,4.51,生态农业;粮食概念;农业种植;土地流转;乡村振兴;地下管网;PPP概念;土壤修复;新疆振兴;污水处理;新型城镇化;西部大开发;光伏建筑一体化;水利;一带一路;京津冀一体化;雅下水电概念;数字乡村;智慧城市;数字经济;数字孪生;机器人概念;人工智能;物联网;DeepSeek概念;鸿蒙概念;华为概念;AI应用;数据安全;云计算,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,0.4454343,4.398148148148136,30,3938985093.56,4.47,4.54,4.45,4.51,2.004454,1.6461445E7,33,300021
603639.SH,海利尔,12.75,生态农业;化肥;乡村振兴;一带一路;DeepSeek概念;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),-0.93240093,-6.38766519823788,7,4333448784.0,12.73,12.98,12.65,12.75,2.564102,5032044,17,603639
002783.SZ,凯龙股份,8.92,生态农业;化肥;民爆概念;煤化工概念;氢能源;国企改革;燃料电池;光伏概念;新能源汽车;军工;军民融合;股权转让(并购重组);融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,-1.76211454,-7.946336429308562,13,4113800180.12,9.08,9.11,8.88,8.92,2.533039,1.256284E7,33,002783
002758.SZ,浙农股份,9.16,生态农业;化肥;粮食概念;供销社;农业种植;农村电商;土壤修复;乡村振兴;俄乌冲突概念;医药电商;冷链物流;农机;共同富裕示范区;中俄贸易概念;数字乡村;数字经济;无人机;深股通,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,-1.7167382,-6.435137895812043,18,4746760767.84,9.31,9.42,9.12,9.16,3.218884,1.2025121E7,33,002758
