序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,涨停 2026.04.30,涨停首次封板时间 2026.04.30,涨停封单额(元) 2026.04.30,涨停封单量(股) 2026.04.30,首板 2026.04.30,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30,CHOICE_INNER_CODE,IN_OPTIONAL
43,603178,圣龙股份,SH,19.46,10.01,涨停,09:56:53,4455.95万,228.98万,首板,1.770,19.46,17.40,10.26,0.75,2426.27万,4.58亿,60.93,4.0191,46.01亿,46.01亿,1000472468,False
44,300083,创世纪,SZ,10.19,20.02,涨停,09:55:42,517.55万,50.79万,首板,1.700,10.19,9.17,26.82,6.91,4.00亿,40.40亿,58.78,3.1946,169.65亿,152.09亿,1000008278,False
45,605123,派克新材,SH,106.77,10.00,涨停,09:55:25,4560.20万,42.71万,首板,9.710,106.77,99.91,4.39,2.14,531.48万,5.60亿,37.75,2.7968,129.37亿,129.37亿,1001881515,False
46,002240,盛新锂能,SZ,60.09,9.99,涨停,09:55:12,1.56亿,260.37万,首板,5.460,60.09,55.26,9.74,1.54,8893.61万,52.39亿,29.63,5.1242,550.00亿,548.57亿,1000007629,False
47,603698,航天工程,SH,43.97,10.01,涨停,09:54:09,6625.40万,150.68万,首板,4.000,43.97,40.24,9.05,1.35,4851.85万,20.76亿,143.83,6.6957,235.67亿,235.67亿,1000305470,False
48,002763,汇洁股份,SZ,9.41,10.06,涨停,09:53:06,5238.60万,556.71万,首板,0.860,9.41,8.86,7.67,2.08,2328.10万,2.16亿,10.51,2.0412,38.57亿,28.57亿,1000310083,False
49,002181,粤 传 媒,SZ,16.49,10.01,涨停,09:52:45,1.16亿,701.40万,首板,1.500,16.49,15.08,6.64,0.81,7531.94万,12.02亿,273.33,4.5025,191.46亿,187.09亿,1000002296,False
50,603937,丽岛新材,SH,15.25,10.03,涨停,09:49:57,515.91万,33.83万,-,1.390,15.25,14.03,11.52,2.09,2406.48万,3.60亿,30.75,2.0586,31.86亿,31.86亿,1000740032,False
51,000790,华神科技,SZ,4.57,10.12,涨停,09:49:33,6405.19万,1401.57万,首板,0.420,4.57,4.25,7.49,2.79,4662.94万,2.10亿,294.80,3.9685,28.50亿,28.45亿,1000000514,False
52,603726,朗迪集团,SH,24.85,10.00,涨停,09:47:01,8678.86万,349.25万,首板,2.260,24.85,23.15,4.22,1.28,779.01万,1.91亿,13.19,3.0840,46.13亿,45.90亿,1000305972,False
53,002235,安妮股份,SZ,11.20,10.02,涨停,09:45:42,9754.22万,870.91万,首板,1.020,11.20,10.21,19.15,2.57,1.06亿,11.71亿,-2223.46,8.8985,64.91亿,62.00亿,1000007655,False
54,601086,国芳集团,SH,8.93,9.98,涨停,09:44:03,5617.26万,629.03万,首板,0.810,8.93,8.50,3.71,2.84,2473.35万,2.18亿,35.76,3.6494,59.47亿,59.47亿,1000316964,False
55,600052,东望时代,SH,4.44,9.90,涨停,09:42:50,8303.55万,1870.17万,首板,0.400,4.44,4.04,6.38,0.65,5387.72万,2.34亿,-48.07,1.7359,37.48亿,37.48亿,1000002499,False
56,600208,衢州发展,SH,4.55,9.90,涨停,09:42:50,6617.82万,1454.47万,首板,0.410,4.55,4.21,2.33,0.60,1.99亿,8.90亿,30.78,0.9264,387.16亿,387.11亿,1000000443,False
57,605099,共创草坪,SH,48.42,10.00,涨停,09:42:30,1907.53万,39.40万,-,4.400,48.42,44.90,1.83,1.70,733.58万,3.48亿,24.27,5.8424,194.91亿,194.38亿,1001855449,False
58,688531,日联科技,SH,120.60,20.00,涨停,09:41:54,4211.04万,34.92万,-,20.100,120.60,105.58,21.01,5.08,2411.60万,28.27亿,113.08,5.8425,199.71亿,138.42亿,1003128142,False
59,603711,香飘飘,SH,14.28,10.02,涨停,09:40:46,5414.26万,379.15万,首板,1.300,14.28,13.70,3.40,6.79,1405.80万,1.99亿,15.78,1.6467,58.96亿,58.96亿,1000576724,False
60,600322,津投城开,SH,2.73,10.08,涨停,09:38:50,781.65万,286.32万,首板,0.250,2.73,2.54,6.18,3.92,6831.07万,1.85亿,6601.39,39.6846,30.19亿,30.19亿,1000001958,False
61,600540,新赛股份,SH,5.58,10.06,涨停,09:37:59,2405.93万,431.17万,首板,0.510,5.58,5.21,8.10,2.54,4710.92万,2.60亿,19.39,8.4304,32.44亿,32.44亿,1000001754,False
62,002192,融捷股份,SZ,109.22,10.00,涨停,09:37:48,6850.08万,62.72万,-,9.930,109.22,102.10,13.06,1.01,3384.96万,36.46亿,25.51,7.3186,283.60亿,283.01亿,1000007454,False
63,000783,长江证券,SZ,7.99,10.06,涨停,09:37:39,8542.92万,1069.20万,首板,0.730,7.99,7.80,5.36,6.20,2.96亿,23.55亿,7.43,1.1996,441.85亿,441.85亿,1000000416,False
64,688699,明微电子,SH,55.43,20.00,涨停,09:37:38,5694.81万,102.74万,首板,9.240,55.43,50.93,5.29,2.12,582.76万,3.15亿,64.41,5.0238,61.01亿,61.01亿,1001023022,False
65,688155,先惠技术,SH,103.57,20.00,涨停,09:36:52,5993.72万,57.87万,首板,17.260,103.57,96.81,5.58,1.85,705.72万,7.19亿,21.32,5.3336,130.95亿,130.95亿,1002101996,False
66,600624,ST复华,SH,4.62,5.00,涨停,09:36:33,933.25万,202.00万,首板,0.220,4.62,4.42,1.46,1.71,992.19万,4559.84万,-71.75,7.3855,31.39亿,31.39亿,1000000919,False
67,605299,舒华体育,SH,25.98,9.99,涨停,09:34:14,3599.27万,138.54万,-,2.360,25.98,24.16,5.66,0.55,2315.22万,5.93亿,109.26,8.8388,106.32亿,106.32亿,1001394223,False
68,002990,盛视科技,SZ,53.83,9.99,涨停,09:34:03,4798.94万,89.15万,首板,4.890,53.83,48.50,8.54,0.59,1178.41万,6.24亿,925.03,5.6485,140.96亿,74.30亿,1001855425,False
69,002453,华软科技,SZ,5.61,10.00,涨停,09:33:48,5689.66万,1014.20万,首板,0.510,5.61,5.15,3.23,1.03,1949.31万,1.08亿,-29.75,6.1080,45.57亿,33.81亿,1000007979,False
70,002634,*ST棒杰,SZ,5.31,4.94,涨停,09:33:06,1671.00万,314.69万,-,0.250,5.31,5.06,5.24,0.57,2317.17万,1.22亿,-10.85,-3.1348,24.39亿,23.48亿,1000009178,False
71,002842,翔鹭钨业,SZ,38.49,10.00,涨停,09:32:51,5488.75万,142.60万,-,3.500,38.49,36.51,32.76,2.16,8796.13万,33.58亿,12.57,8.6263,125.93亿,103.33亿,1000326764,False
72,000402,金 融 街,SZ,3.17,10.07,涨停,09:32:15,4055.82万,1279.44万,-,0.290,3.17,3.02,4.10,4.26,1.23亿,3.85亿,6.87,0.4772,94.75亿,94.74亿,1000002051,False
73,603190,亚通精工,SH,28.33,10.02,涨停,09:31:47,1064.07万,37.56万,首板,2.580,28.33,27.50,13.09,4.55,538.30万,1.52亿,17.66,1.5673,35.28亿,11.65亿,1002686329,False
74,600158,中体产业,SH,11.85,10.03,涨停,09:31:32,6859.44万,578.86万,首板,1.080,11.85,11.54,7.03,1.12,6743.93万,7.96亿,-495.84,4.7381,113.70亿,113.70亿,1000001299,False
75,002645,华宏科技,SZ,25.77,9.99,涨停,09:31:06,5152.72万,199.95万,-,2.340,25.77,24.66,8.19,1.31,4576.93万,11.72亿,18.68,3.7900,161.73亿,144.04亿,1000008296,False
76,002207,*ST准油,SZ,6.87,5.05,涨停,09:30:57,2383.17万,346.89万,首板,0.330,6.87,6.70,14.85,1.18,3871.82万,2.64亿,-28.65,153.7336,18.00亿,17.92亿,1000006670,False
