排名,板块,涨停家数,≥2板,≥3板,龙头连板,主力净流入(亿),5日涨幅均值(%),量比均值,成交额合计(亿),成员数(涨停的),成员名
217,婴童概念,2,0,0,1,2.14,11.53,1.98,4.73,2,002763汇洁股份; 002640跨境通
218,首发经济,2,0,0,1,2.12,16.43,1.17,9.74,2,600158中体产业; 603389*ST亚振
219,冰雪经济,1,0,0,1,2.07,11.16,1.12,7.96,1,600158中体产业
220,在线教育,1,0,0,1,2.07,11.16,1.12,7.96,1,600158中体产业
221,储能概念,2,0,0,1,2.00,0.71,1.37,19.98,2,002929润建股份; 600052东望时代
222,军工信息化,2,0,0,1,1.97,-11.52,1.02,9.51,2,001270*ST铖昌; 002977*ST天箭
223,卫星通信,2,0,0,1,1.97,-11.52,1.02,9.51,2,001270*ST铖昌; 002977*ST天箭
224,氮化镓,2,0,0,1,1.97,-11.52,1.02,9.51,2,001270*ST铖昌; 002977*ST天箭
225,新能源,3,0,0,1,1.95,10.51,2.35,21.62,3,603717天域生物; 600540新赛股份; 002929润建股份
226,养老概念,4,0,0,1,1.89,16.69,1.89,10.76,4,000790华神科技; 600400红豆股份; 603030全筑股份; 601588北辰实业
227,奶粉,1,0,0,1,1.77,9.28,1.87,2.57,1,002640跨境通
228,无线耳机,1,0,0,1,1.77,9.28,1.87,2.57,1,002640跨境通
229,中欧经济一体化,2,0,0,1,1.75,12.13,1.97,24.83,2,688155先惠技术; 002929润建股份
230,安防概念,2,0,0,1,1.74,8.93,0.70,7.15,2,002990盛视科技; 600476*ST湘邮
231,新零售,2,0,0,1,1.67,17.49,2.25,7.27,2,601086国芳集团; 600400红豆股份
232,6G概念,1,0,0,1,1.67,-11.90,0.82,7.98,1,001270*ST铖昌
233,鸿蒙概念,1,0,0,1,1.56,9.43,0.59,6.24,1,002990盛视科技
234,人脸识别,1,0,0,1,1.56,9.43,0.59,6.24,1,002990盛视科技
235,核污染防治,1,0,0,1,1.56,9.43,0.59,6.24,1,002990盛视科技
236,语音技术,1,0,0,1,1.56,9.43,0.59,6.24,1,002990盛视科技
237,电子后视镜,1,0,0,1,1.56,9.43,0.59,6.24,1,002990盛视科技
238,降解塑料,1,0,0,1,1.55,23.47,1.12,8.12,1,600433冠豪高新
239,转债标的,2,0,0,1,1.53,12.82,1.38,9.84,2,002989中天精装; 605222起帆电缆
240,电网概念,2,0,0,1,1.52,16.52,1.19,18.77,2,002929润建股份; 603045福达合金
241,海南自贸,2,0,0,1,1.52,5.63,1.88,13.64,2,000790华神科技; 603687大胜达
242,短剧互动游戏,1,0,0,1,1.49,25.69,0.81,12.02,1,002181粤传媒
243,粤港自贸,1,0,0,1,1.49,25.69,0.81,12.02,1,002181粤传媒
244,云计算,3,0,0,1,1.44,8.59,1.53,19.21,3,002929润建股份; 600476*ST湘邮; 603559ST通脉
245,轮毂电机,1,0,0,1,1.42,1.99,0.75,4.58,1,603178圣龙股份
246,数字乡村,2,0,0,1,1.40,6.46,1.45,18.55,2,002929润建股份; 600476*ST湘邮
247,包装材料,1,0,0,1,1.29,-7.44,0.96,11.54,1,603687大胜达
248,数字水印,1,0,0,1,1.29,-7.44,0.96,11.54,1,603687大胜达
249,钙钛矿设备,1,0,0,1,1.29,-7.44,0.96,11.54,1,603687大胜达
250,钙钛矿电池,1,0,0,1,1.29,-7.44,0.96,11.54,1,603687大胜达
251,包装,1,0,0,1,1.29,-7.44,0.96,11.54,1,603687大胜达
252,ChatGPT概念,1,0,0,1,1.29,-7.44,0.96,11.54,1,603687大胜达
253,两岸合作,2,0,0,1,1.27,7.68,1.59,8.45,2,001215千味央厨; 002158汉钟精机
254,空气能热泵,2,0,0,1,1.26,7.13,1.73,6.01,2,002158汉钟精机; 603726朗迪集团
255,电力物联网,1,0,0,1,1.22,4.48,2.09,17.64,1,002929润建股份
256,智慧灯杆,1,0,0,1,1.22,4.48,2.09,17.64,1,002929润建股份
257,华为数字能源,1,0,0,1,1.22,4.48,2.09,17.64,1,002929润建股份
258,算力租赁,1,0,0,1,1.22,4.48,2.09,17.64,1,002929润建股份
259,云办公,1,0,0,1,1.22,4.48,2.09,17.64,1,002929润建股份
260,服装,2,0,0,1,1.15,20.78,1.88,7.25,2,002763汇洁股份; 600400红豆股份
261,高股息精选,1,0,0,1,1.14,1.00,1.11,5.14,1,603897长城科技
262,价值股,1,0,0,1,1.14,1.00,1.11,5.14,1,603897长城科技
263,新疆振兴,2,0,0,1,1.11,6.53,1.86,5.24,2,600540新赛股份; 002207*ST准油
264,环锻,1,0,0,1,1.08,3.82,2.14,5.60,1,605123派克新材
265,蓝箭航天,1,0,0,1,1.08,3.82,2.14,5.60,1,605123派克新材
266,中科宇航,1,0,0,1,1.08,3.82,2.14,5.60,1,605123派克新材
267,建筑节能,3,0,0,1,1.01,4.41,1.77,4.30,3,600540新赛股份; 603030全筑股份; 603828*ST利达
268,特高压,1,0,0,1,0.97,9.32,0.93,7.28,1,605222起帆电缆
269,海底电缆,1,0,0,1,0.97,9.32,0.93,7.28,1,605222起帆电缆
270,柔性直流输电,1,0,0,1,0.97,9.32,0.93,7.28,1,605222起帆电缆
271,磁悬浮压缩机,1,0,0,1,0.92,7.39,2.17,4.10,1,002158汉钟精机
272,地热能,1,0,0,1,0.92,7.39,2.17,4.10,1,002158汉钟精机
273,谷子店,1,0,0,1,0.89,7.20,2.84,2.18,1,601086国芳集团
274,红利股,1,0,0,1,0.89,7.20,2.84,2.18,1,601086国芳集团
275,微盘股,3,0,0,1,0.84,17.88,2.36,5.27,3,000790华神科技; 603717天域生物; 002591恒大高新
276,股权转让,1,0,0,1,0.78,-3.06,0.65,2.34,1,600052东望时代
277,影视概念,1,0,0,1,0.78,-3.06,0.65,2.34,1,600052东望时代
278,高压快充,1,0,0,1,0.77,7.20,4.74,4.06,1,002870香山股份
279,小鹏汇天,1,0,0,1,0.77,7.20,4.74,4.06,1,002870香山股份
280,智能座舱,1,0,0,1,0.77,7.20,4.74,4.06,1,002870香山股份
281,婴童用品,1,0,0,1,0.77,7.20,4.74,4.06,1,002870香山股份
282,智能家居,3,0,0,1,0.76,19.18,0.80,4.05,3,603045福达合金; 603030全筑股份; 603389*ST亚振
283,装配建筑,3,0,0,1,0.73,5.86,1.86,3.80,3,000790华神科技; 603030全筑股份; 603828*ST利达
284,垃圾分类,2,0,0,1,0.63,19.25,1.19,2.46,2,002591恒大高新; 002856*ST美芝
285,绿色电力,2,0,0,1,0.61,17.46,2.15,3.17,2,603717天域生物; 002591恒大高新
286,页岩气,1,0,0,1,0.61,-1.29,1.18,2.64,1,002207*ST准油
287,油气资源,1,0,0,1,0.61,-1.29,1.18,2.64,1,002207*ST准油
288,油气开采及服务,1,0,0,1,0.61,-1.29,1.18,2.64,1,002207*ST准油
289,油气设服,1,0,0,1,0.61,-1.29,1.18,2.64,1,002207*ST准油
290,资源开采概念,1,0,0,1,0.61,-1.29,1.18,2.64,1,002207*ST准油
