股票代码,股票简称,最新价,所属概念,股票市场类型,涨跌幅:前复权[20260430],成交额[20260430],主力资金流向[20260430],区间涨跌幅:前复权[20260424-20260430],所属概念数量,a股市值(不含限售股)[20260430],成交量[20260430],主力买入金额[20260430],主力卖出金额[20260430],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],market_code,code
002232.SZ,启明信息,17.68,网络安全;智慧政务;智慧城市;信创;数字经济;车联网(车路协同);数据安全;数据要素;国资云;国产操作系统;华为鲲鹏;DeepSeek概念;EDR概念;人工智能;AI智能体;卫星导航;阿里巴巴概念;元宇宙;低空经济;ERP概念;百度概念;京津冀一体化;华为概念;算力租赁;工业互联网;无人驾驶;虚拟现实;MLOps概念;数据中心;飞行汽车(eVTOL);华为汽车;乡村振兴;一带一路;新能源汽车;充电桩;汽车电子;国企改革;央企国企改革;股权转让(并购重组);融资融券;深股通,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,1.14416476,6.27844527E7,80761.0,-2.2664455500276404,41,7223136684.4,3565230,786596.0,705835.0,17.48,17.72,17.32,17.68,2.288329,33,002232
688060.SH,云涌科技,47.63,网络安全;信创;物联网;新型工业化;车联网(车路协同);芯片概念;工业互联网;专精特新;智能电网;充电桩;虚拟电厂;融资融券,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;科创板,2.21030043,2.2223437E7,1290269.03,2.430107526881726,12,2866884374.64,470904,1958162.03,667893.0,45.72,47.8,45.72,47.63,4.463519,17,688060
002197.SZ,证通电子,8.05,网络安全;算力租赁;信创;数据安全;智慧政务;云计算;数字水印;东数西算(算力);鸿蒙概念;数字货币;腾讯概念;区块链;阿里巴巴概念;数据要素;智慧城市;智慧灯杆;ChatGPT概念;百度概念;移动支付;AI应用;抖音概念(字节概念);互联网金融;数字经济;数据中心;华为概念;人工智能;DeepSeek概念;职业教育;智能医疗;机器人概念;粤港澳大湾区;NFT概念;充电桩;芯片概念;垃圾分类;乡村振兴;钠离子电池;深股通;摘帽,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,0.75093867,1.0723307E8,956570.0,6.622516556291402,39,4298700096.6,1.339487E7,11311282.0,10354712.0,7.98,8.07,7.92,8.05,1.877346,33,002197
300466.SZ,赛摩智能,9.12,网络安全;数据安全;鸿蒙概念;人工智能;AI应用;云计算;工业互联网;C2M概念;华为概念;无人机;换电概念;数据中心;机器人概念;智能物流;新型工业化;机器视觉;燃料电池;一带一路;光伏概念;新能源汽车;比亚迪概念;国企改革;深股通,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,1.55902004,7.62452776E7,4812554.0,1.7857142857142672,23,4200132333.12,8419380,11345425.0,6532871.0,8.95,9.14,8.92,9.12,2.449888,33,300466
301371.SZ,敷尔佳,29.04,网红经济;医美概念;合成生物;重组蛋白;医药电商;医疗器械概念;NMN概念;黑龙江自贸区;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,-0.61601643,1.47919852E8,3081430.3000000007,9.875141884222472,10,2260891776.0,5053387,8589262.9,5507832.6,29.13,29.64,28.83,29.04,2.772073,33,301371
603630.SH,拉芳家化,16.62,网红经济;医美概念;创投;DeepSeek概念;沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通,-1.48192057,5.9866835E7,1505314.0,1.900674432863288,5,3742900119.6,3587400,2203606.0,698292.0,16.73,16.9,16.56,16.62,2.015411,17,603630
001328.SZ,登康口腔,31.8,网红经济;三胎概念;医疗器械概念;超级品牌;国企改革;西部大开发;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,-3.10786106,8.31967145E7,8723033.4,-6.7175124669991275,8,5142597420.0,2588963,12673462.4,3950429.0,32.64,32.97,31.7,31.8,3.869591,33,001328
002762.SZ,*ST金比,8.71,网红经济;三胎概念;消毒剂;家用电器;IP经济(谷子经济);托育服务;ST板块;毛发医疗;医美概念;股权转让(并购重组),*ST;全部AB股;全部A股;全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股;风险警示板,3.44418052,4.14719306E7,2757134.3,10.253164556962032,10,1841106160.14,4786826,6276339.3,3519205.0,8.39,8.75,8.39,8.71,4.275534,33,002762
300892.SZ,品渥食品,28.35,网红经济;乳业;三胎概念;啤酒概念;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,0.78208319,4.503141E7,3740037.0,2.3835319609967502,5,1830346875.0,1588200,4472432.0,732395.0,28,28.71,28,28.35,2.523995,33,300892
605136.SH,丽人丽妆,10.94,网红经济;拼多多概念;跨境电商;三胎概念;抖音概念(字节概念);创投;乡村振兴,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,1.39017609,8.1630567E7,693585.0,3.402646502835533,7,4381015990.0,7462200,5202867.0,4509282.0,10.75,11.08,10.74,10.94,3.151065,17,605136
